,company name,company website,article title,article url
0,DraftKings,http://www.draftkings.com,"New York Governor signs daily fantasy sports bill, DraftKings and FanDuel can operate again",https://techcrunch.com/2016/08/03/new-york-governor-signs-daily-fantasy-sports-bill-draftkings-and-fanduel-can-operate-again/
1,,,Crunch Report | First private company to go to the Moon,https://techcrunch.com/2016/08/03/crunch-report-first-private-company-to-go-to-the-moon/
2,AirHelp,http://www.getairhelp.com,AirHelp raises $12 million to deal with airline customer service for you,https://techcrunch.com/2016/08/03/airhelp-raises-12-million-to-deal-with-airline-customer-service-for-you/
3,Sun Microsystems,http://www.sun.com,Elastica’s chief executive Rehan Jalil on being an entrepreneur in Silicon Valley,https://techcrunch.com/2016/08/03/elasticas-chief-executive-rehan-jalil-on-being-an-entrepreneur-in-silicon-valley/
4,Splice,http://splice.com,Splice launches rent-to-own pricing model for software synths,https://techcrunch.com/2016/08/03/splice-launches-rent-to-own-pricing-model-for-software-synths/
5,,,How the microbiome will lead a revolution in the consumerization of personalized medicine and diet,https://techcrunch.com/2016/08/03/how-the-microbiome-will-lead-a-revolution-in-the-consumerization-of-personalized-medicine-and-diet/
6,Vipkid,http://www.vipkid.com.cn/,VIPKID nabs $100M to link Chinese kids with native speakers to learn English,https://techcrunch.com/2016/08/03/vipkid-nabs-100m-to-link-chinese-kids-with-native-speakers-to-learn-english/
7,Intel,http://www.intel.com,Intel shows off mystery depth-sensing virtual reality accessory,https://techcrunch.com/2016/08/03/intel-shows-off-mystery-depth-sensing-virtual-reality-accessory/
8,Comcast,http://comcast.com,Average broadband speed in US rises above 50 megabits for the first time,https://techcrunch.com/2016/08/03/average-broadband-speed-in-us-rises-above-50-megabits-for-the-first-time/
9,Amazon,http://amazon.com,The impending online shopping split: buy boutique or buy Amazon,https://techcrunch.com/2016/08/03/the-impending-online-shopping-split-buy-boutique-or-buy-amazon/
10,,,Rethinking the customer relationship in medtech,https://techcrunch.com/2016/08/03/rethinking-the-customer-relationship-in-medtech/
11,Elon Musk,http://www.solarcity.com,"Tesla misses Q2 earnings, delivers 14,402 vehicles",https://techcrunch.com/2016/08/03/tesla-misses-q2-earnings-delivers-14402-vehicles/
12,Square,http://squareup.com,Jack Dorsey gets a much-needed strong second quarter performance from Square,https://techcrunch.com/2016/08/03/jack-dorsey-helmed-square-reports-a-much-needed-strong-second-quarter/
13,Intel,http://www.intel.com,"Basis Peak watches recalled, service shutting down due to overheating",https://techcrunch.com/2016/08/03/basis-peak-watches-recalled-due-to-overheating/
14,White House,https://www.whitehouse.gov/,"The White House requested input on artificial intelligence, and IBM’s response is a great AI 101",https://techcrunch.com/2016/08/03/the-white-house-requested-input-on-artificial-intelligence-and-ibms-response-is-a-great-ai-101/
15,Lyft,http://lyft.com,"Lyft hits record 13.9M monthly rides, sees 5X quarterly growth in Concierge rides",https://techcrunch.com/2016/08/03/lyft-hits-record-13-9m-monthly-riders-sees-5x-quarterly-growth-in-concierge-rides/
16,Owlchemy Labs,http://owlchemylabs.com,Owlchemy Labs nabs $5 million to keep on building crazy VR games,https://techcrunch.com/2016/08/03/owlchemy-labs-nabs-5-million-to-keep-on-building-crazy-vr-games/
17,Microsoft,http://www.microsoft.com,"Microsoft’s Excel API, which lets developers access data stored in spreadsheets, hits general availability",https://techcrunch.com/2016/08/03/microsofts-excel-api-which-lets-developers-access-data-stored-in-spreadsheets-hits-general-availability/
18,,,Study identifies 20 ‘second Earth’ candidates with potential to harbor life,https://techcrunch.com/2016/08/03/study-identifies-20-second-earth-candidates-with-potential-to-harbor-life/
19,BMW,http://www.bmwgroup.com,ReachNow expands BMW car sharing to Portland,https://techcrunch.com/2016/08/03/reachnow-expands-bmw-car-sharing-to-portland/
20,YouTube,http://www.youtube.com/,YouTube Kids rolls out an ad-free option,https://techcrunch.com/2016/08/03/youtube-kids-rolls-out-an-ad-free-option/
21,George Hotz,,Comma.ai open-sources the data it used for its first successful driverless trips,https://techcrunch.com/2016/08/03/comma-ai-open-sources-the-data-it-used-for-its-first-successful-driverless-trips/
22,,,"Let’s meet in Columbus, Ohio, next week",https://techcrunch.com/2016/08/03/lets-meet-in-columbus-ohio-next-week/
23,AWS Lambda,http://aws.amazon.com/lambda/,What real cloud-native apps will look like,https://techcrunch.com/2016/08/03/what-real-cloud-native-apps-will-look-like/
24,Apple,http://www.apple.com,Rev. Jesse Jackson says Apple is ‘setting the pace’ around diversity and inclusion,https://techcrunch.com/2016/08/03/apple-diversity-report-2016/
25,Lear Corporation,http://lear.com,Lear plans to ship a modular unit to let cars talk to smart cities and other vehicles,https://techcrunch.com/2016/08/03/lear-plans-to-ship-a-modular-unit-to-let-cars-to-talk-to-smart-cities-and-other-vehicles/
26,Microsoft,http://www.microsoft.com,"Skype gets new bots for travel, tickets and entertainment, but they’re far from perfect",https://techcrunch.com/2016/08/03/skype-gets-new-bots-for-travel-tickets-and-entertainment-but-theyre-far-from-perfect/
27,Kik,http://kik.com/,"Kik users have exchanged over 1.8 billion messages with the platform’s 20,000 chatbots",https://techcrunch.com/2016/08/03/kik-users-have-exchanged-over-1-8-billion-messages-with-the-platforms-20000-chatbots/
28,Accompany,https://www.accompany.com/,Accompany’s digital chief-of-staff application launches in beta,https://techcrunch.com/2016/08/03/accompanys-digital-chief-of-staff-application-launches-in-beta/
29,Dropbox,http://www.dropbox.com,Dropbox launches an iPhone and Android version of its document-editing app Paper,https://techcrunch.com/2016/08/03/dropbox-launches-an-iphone-and-android-version-of-its-document-editing-app-paper/
